Tên thủ tục,Link
Trình báo mất hộ chiếu phổ thông (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=35714
Trình báo mất hộ chiếu phổ thông (thực hiện tại cấp xã),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64227
Trình báo mất thẻ ABTC (thực hiện tại cấp trung ương),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26269
Cấp thẻ căn cước cho người dưới 14 tuổi (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=57013
"Cấp xác nhận số chứng minh nhân dân 09 số, số định danh cá nhân (thực hiện tại cấp trung ương)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26053
"Cấp xác nhận số chứng minh nhân dân 09 số, số định danh cá nhân (thực hiện tại cấp tỉnh)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26092
"Đăng ký sang tên, di chuyển xe tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26130
Cấp Giấy phép vận chuyển vật liệu nổ công nghiệp thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26760
"Cấp đổi chứng nhận đăng ký xe, biển số xe thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26123
"Cấp lại chứng nhận đăng ký xe, biển số xe thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26122
Nộp phạt quyết định xử phạt vi phạm hành chính trong lĩnh vực giao thông,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26612
Đăng ký xe tạm thời thực hiện tại Cục,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26126
"Thu hồi chứng nhận đăng ký xe, biển số xe thực hiện tại Cục",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26125
"Đăng ký, cấp biển số xe lần đầu thực hiện tại Công an cấp tỉnh",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=39372
"Đăng ký sang tên, di chuyển xe thực hiện tại Công an cấp tỉnh",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=43474
"Cấp đổi chứng nhận đăng ký xe, biển số xe thực hiện tại Công an cấp tỉnh",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=43492
"Cấp lại giấy chứng nhận đăng ký xe, biển số xe tại Công an cấp tỉnh",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=43475
Đăng ký xe tạm thời thực hiện tại Công an cấp tỉnh,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=43472
"Thu hồi chứng nhận đăng ký xe, biển số xe thực hiện tại Công an cấp tỉnh",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=43493
"Thông báo khai báo vũ khí thô sơ là hiện vật trưng bày, triển lãm, đồ gia bảo",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64230
Cấp Giấy phép vận chuyển vật liệu nổ công nghiệp tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26318
Cấp giấy phép vận chuyển pháo hoa để kinh doanh tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26472
Cấp giấy phép mua pháo hoa để kinh doanh tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26454
"Đăng ký, cấp biển số xe lần đầu thực hiện tại Công an cấp xã được phân cấp đăng ký xe",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64188
"Cấp Giấy phép xuất khẩu pháo hoa, thuốc pháo hoa tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26455
"Đăng ký sang tên, di chuyển xe thực hiện tại Công an cấp xã được phân cấp đăng ký xe",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=64208
"Cấp giấy phép nhập khẩu pháo hoa, thuốc pháo hoa tại Cục Cảnh sát quản lý hành chính về trật tự xã hội - Bộ Công an",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26473
